2012-02-13 09:56:46 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 24]
2012-02-13 10:00:40 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 24]
2012-02-13 10:00:41 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 24]
2012-02-13 10:01:06 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 24]
2012-02-13 10:16:12 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 22]
2012-02-13 10:18:23 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 24]
2012-02-13 10:18:23 Notice: Notice (8): Trying to get property of non-object in [/var/www/html/app/controllers/users_controller.php, line 24]
2012-02-13 10:29:13 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 25]
2012-02-13 10:29:13 Notice: Notice (8): Trying to get property of non-object in [/var/www/html/app/controllers/users_controller.php, line 25]
2012-02-13 10:33:15 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 25]
2012-02-13 10:33:15 Notice: Notice (8): Trying to get property of non-object in [/var/www/html/app/controllers/users_controller.php, line 25]
2012-02-13 10:33:15 Notice: Notice (8): Undefined property: UsersController::$request in [/var/www/html/app/controllers/users_controller.php, line 26]
2012-02-13 10:33:15 Notice: Notice (8): Trying to get property of non-object in [/var/www/html/app/controllers/users_controller.php, line 26]
2012-02-14 11:23:12 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:23:12 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:23:12 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:23:12 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:23:17 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:11 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:11 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:11 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:11 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:12 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:59 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:59 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:59 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:59 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:59 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:24:59 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:25:00 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:25:00 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:25:55 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:25:55 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:25:55 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:25:55 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:25:55 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:27:05 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:27:05 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:27:06 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:27:06 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:27:10 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:28:26 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:36:57 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:36:57 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:36:57 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:36:57 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:36:58 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:37:26 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 11:37:31 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 11:37:32 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:41:09 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:41:10 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:41:10 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:41:14 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:43:48 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:43:49 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:43:49 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:44:23 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
2012-02-14 11:44:23 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 1]
